"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-3,9,0.701510648519735,13.0608548980895
10,-3,10,0.664177197134549,19.4848183527273
10,-3,11,0.665301939906992,27.0892337320976
10,-3,12,0.683960924458328,35.7585902153789
10,-3,13,0.661735766266286,45.378881253382
10,-3,14,0.667693242557927,55.7966458581111
10,-3,15,0.614082699659906,66.8315632616825
10,-3,16,0.582495850131231,78.3056929409284
10,-3,17,0.54342279244085,90.036240712864
10,-3,18,0.512358396505233,101.825707276925
10,-3,19,0.493130985974464,113.479787103559
10,-3,20,0.424499566548184,124.823108774266
10,-3,21,0.37316538668519,135.686092109731
10,-3,22,0.328542796874753,145.902334576597
10,-3,23,0.1946261590103,155.321240147177
10,-3,24,0,163.81254530192
10,-3,25,0,171.276678015506
10,-3,26,0,172.742782413852
10,-3,27,0,169.899757575294
10,-3,28,0,165.414444749616
10,-3,29,0,157.097352275842
10,-3,30,0,149.132573125377
10,-2,-2,0.00538830265312239,0
10,-2,-1,0.0127833478181435,0
10,-2,0,0.0397225843775091,0
10,-2,1,0.13356638683255,0
10,-2,2,0.365083438380889,0
10,-2,3,0.566404996436999,0
10,-2,4,0.601382396743623,0
10,-2,5,0.610176945533203,0.315986480457607
10,-2,6,0.664818809219135,1.66606491458355
10,-2,7,0.645436341698311,4.31341362117756
10,-2,8,0.700564408604557,8.29769838896923
10,-2,9,0.679831826573914,13.6409615656714
10,-2,10,0.661856566783432,20.2762770975924
10,-2,11,0.676281785530559,28.1088297710018
10,-2,12,0.691049906214101,37.0438219891683
10,-2,13,0.69208678711099,46.937731335806
10,-2,14,0.595640183724002,57.6232552001195
10,-2,15,0.596167955442479,68.9350527162665
